,hedger,weight,asset
0,ETH,0.62,BTC
1,BNB,0.1,BTC
2,STX,0.05,BTC
3,LTC,0.22,BTC
0,BNB,0.16,ETH
1,MATIC,0.08,ETH
2,ETC,0.23,ETH
3,BTC,0.51,ETH
4,LTC,0.03,ETH
0,EOS,0.01,BNB
1,DASH,0.11,BNB
2,ETH,0.36,BNB
3,ZIL,0.06,BNB
4,DOGE,0.08,BNB
5,CHZ,0.06,BNB
6,BTC,0.17,BNB
7,LTC,0.14,BNB
0,XLM,0.9,XRP
1,CHZ,0.0,XRP
2,BTC,0.04,XRP
3,LTC,0.05,XRP
0,EOS,0.09,SOL
1,ZIL,0.05,SOL
2,MATIC,0.04,SOL
3,FTM,0.26,SOL
4,ATOM,0.02,SOL
5,LINK,0.17,SOL
6,THETA,0.05,SOL
7,ONE,0.08,SOL
8,ALGO,0.12,SOL
9,BTC,0.12,SOL
0,ETH,0.07,USDC
1,TRX,0.53,USDC
2,BTC,0.4,USDC
0,XRP,0.11,ADA
1,VET,0.1,ADA
2,EOS,0.1,ADA
3,ETH,0.04,ADA
4,BNB,0.05,ADA
5,ZIL,0.04,ADA
6,MATIC,0.12,ADA
7,ATOM,0.05,ADA
8,LINK,0.03,ADA
9,CHZ,0.05,ADA
10,ETC,0.06,ADA
11,ONE,0.07,ADA
12,ALGO,0.07,ADA
13,BTC,0.1,ADA
0,VET,0.06,DOGE
1,EOS,0.25,DOGE
2,BNB,0.16,DOGE
3,ATOM,0.06,DOGE
4,CHZ,0.05,DOGE
5,THETA,0.07,DOGE
6,ONE,0.01,DOGE
7,ALGO,0.17,DOGE
8,BTC,0.02,DOGE
9,LTC,0.15,DOGE
0,ETH,0.27,TRX
1,BNB,0.13,TRX
2,BTC,0.54,TRX
3,LTC,0.06,TRX
0,DASH,0.11,LINK
1,BNB,0.0,LINK
2,ZIL,0.07,LINK
3,MATIC,0.34,LINK
4,FTM,0.06,LINK
5,DOGE,0.02,LINK
6,ADA,0.03,LINK
7,ATOM,0.08,LINK
8,RVN,0.1,LINK
9,THETA,0.08,LINK
10,BTC,0.11,LINK
0,ENJ,0.04,AVAX
1,MATIC,0.02,AVAX
2,FTM,0.22,AVAX
3,ADA,0.06,AVAX
4,ATOM,0.2,AVAX
5,LINK,0.08,AVAX
6,THETA,0.04,AVAX
7,ONE,0.21,AVAX
8,ALGO,0.14,AVAX
0,EOS,0.09,MATIC
1,ETH,0.23,MATIC
